reg_id,year,number,change,file
Permen_Hub_2019_21,2019,21,Permen_Hub_2013_66,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn366-2019.json
Permen_BUMN_2019_07,2019,07,Permen_BUMN_2016_04,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_1200-2019.json
Permen_BUMN_2019_06,2019,06,Permen_BUMN_2018_04,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn1199-2019.json
Permen_LHK_2019_7,2019,7,Permen_LHK_2018_27,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_462-2019.json
Permen_LHK_2019_51,2019,51,Permen_Hut_2008_56,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn1138-2019.json
Permen_LHK_2019_50,2019,50,Permen_LHK_2018_96,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn1137-2019.json
Permen_LHK_2019_42,2019,42,Permen_LHK_2018_17,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn1003-2019.json
Permen_LHK_2019_19,2019,19,Permen_LHK_2018_28,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn448-2019.json
PERMEN_LHK_4_16,4,16,PERMEN_LHK_2014_5,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn433-2019.json
Permen_LHK_2019_11,2019,11,Permen_Hut_2014_30,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn360-2019.json
PERMEN_KEU_2019_96,2019,96,PERMEN_KEU_2017_27,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn690-2019.json
Perpres_2019_95,2019,95,Perpres_2019_74,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/ps95-2019.json
Perpres_2019_94,2019,94,Perpres_2019_73,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/ps94-2019.json
Permen_Keu_2019_93,2019,93,Permen_Keu_2017_107,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_702-2019.json
Permen_Keu_2008_92,2008,92,Permen_Keu_2008_253,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn665-2019.json
PERMEN_DAGRI_2019_92,2019,92,PERMEN_DAGRI_2019_2,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn__1475-2019.json
PERATURAN_JAGUNG_2019_9,2019,9,PERATURAN_JAGUNG_10_027,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn1571-2019.json
Peraturan_KPU_2019_9,2019,9,Peraturan_KPU_2019_3,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn379-2019.json
Peraturan_Bawaslu_2019_9,2019,9,Peraturan_Bawaslu_2019_1,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn423-2019.json
Permen_Dikbud_2019_9,2019,9,Permen_Dikbud_2018_11,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn236-2019.json
Permen_Pora_2019_9,2019,9,Permen_Pora_2017_24,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_1448-2019.json
PERMEN_DESA_2019_9,2019,9,PERMEN_DESA_2017_1,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_1051-2019.json
Permen_Humham_2019_9,2019,9,Permen_Humham_2013_7,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_632-2019.json
Permen_Keu_2019_87,2019,87,Permen_Keu_2018_217,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn641-2019.json
Perpres_2019_87,2019,87,Perpres_2016_60,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/ps87-2019.json
PERMEN_KEU_2019_86,2019,86,PERMEN_KEU_2017_35,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn640-2019.json
Perpres_2019_86,2019,86,Perpres_2_90,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/ps86-2019.json
Permen_Keu_2019_84,2019,84,Permen_Keu_2012_47,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn613-2019.json
Perpres_2019_84,2019,84,Perpres_2015_101,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/ps84-2019.json
Permen_Keu_2019_83,2019,83,Permen_Keu_2014_273,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn605-2019.json
PP_2019_82,2019,82,PP_2015_44,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/pp82-2019bt.json
Permen_Kes_2019_81,2019,81,Permen_Kes_2008_496,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn1537-2019.json
Permen_Dag_2019_80,2019,80,Permen_Dag_2018_109,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_1291-2019.json
Peraturan_Bawaslu_2019_8,2019,8,Peraturan_Bawaslu_2017_19,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn422-2019.json
PERMEN_PPPA_2019_8,2019,8,PERMEN_PPPA_2015_1,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn799-2019.json
