new_doc,old_doc
Perkab_Bantul_2012_18,Perkab_Bantul_2007_15
Perkab_Banyuwangi_2012_18,Perkab_Banyuwangi_2000_13
Perkab_Garut_2012_18,Perkab_Garut_2011_1
Perkab_Karangasem_2012_18,Perkab_Karangasem_2011_26
Perkab_Sinjai_2012_18,Perkab_Sinjai_1998_14
Perkab_Wajo_2012_18,Perkab_Wajo_2011_30
Perkab_Bantul_2012_19,Perkab_Bantul_2007_17
Perkab_Kotawaringin_Barat_2012_19,
Perkab_Sinjai_2012_19,Perda_2005_3
Perkab_Bantul_2012_20,Perkab_Bantul_2009_18
Perkab_Garut_2012_21,Perkab_Garut_2011_22
Perkab_Sinjai_2012_21,Perda_1999_7
Perkab_Sinjai_2012_22,Perda_2002_12
Perkab_Bantul_2012_23,Perkab_Bantul_2011_16
Perkab_Sinjai_2012_23,Perda_2002_9
Perkab_Sinjai_2012_31,Perda_2002_16
Perkab_Sinjai_2012_35,Perkab_Sinjai_2010_18
Perkab_Muaro_Jambi_2012_02,
Perkab_Banjar_2012_5,Perkab_Banjar_2005_06
Perkab_Banjar_2012_16,Perkab_Banjar_2008_09
Permen_Sos_2012_04,Permen_Sos_2011_13
Permen_Sos_2012_14,Permen_Sos_2011_176
Perkot_Padang_2012_8,
Perkot_Padang_2012_8,Perda_1985_18
Perkot_Padang_2012_21,
PP_2011_5,PP_2007_46
PP_2011_7,PP_1980_18
UU_2011_8,UU_2003_24
UU_2011_9,UU_2006_9
UU_2011_10,UU_1997_32
PP_2011_11,PP_1977_7
PP_2011_12,PP_2001_28
PP_2011_13,PP_2001_29
PP_2011_14,PP_2010_28
PP_2011_15,PP_2010_29
PP_2011_16,PP_2010_30
PP_2011_17,PP_1980_10
PP_2011_18,PP_1985_14
PP_2011_19,PP_1985_34
PP_2011_22,PP_2010_20
PP_2011_43,PP_1998_26
PP_2011_44,PP_1979_32
PP_2011_45,PP_2007_56
PP_2011_46,PP_1979_10
PP_2008_49,PP_2008_1
PP_2011_52,PP_2007_1
PP_2011_74,PP_2007_80
PP_2011_75,PP_2005_5
Perpres_2011_76,Perpres_2009_47
Perpres_2011_77,Perpres_2009_47
Perpres_2011_84,Perpres_2011_66
Perpres_2011_91,Perpres_2009_47
Perpres_2011_92,Perpres_2010_24
Permen_LH_2011_08,
Peraturan_BMKG_2011_04,Peraturan_BMKG_2011_02
Peraturan_BMKG_2011_06,Peraturan_BMKG_2010_002
Peraturan_KPU_2011_02,Peraturan_KPU_2010_02
Peraturan_KPU_2011_03,Peraturan_KPU_2010_22
Peraturan_BPOM_2011_03,Peraturan_BPOM_2005_00
Permen_Kominfo_2011_01,Permen_Kominfo_2008_36
Permen_Kominfo_2011_24,Permen_Kominfo_2007_26
Permen_Kes_2011_2048,Permen_Kes_2005_1620
Permen_Kes_2011_2048,Permen_Kes_2006_426
Permen_Kes_2011_2052,Permen_Kes_2007_512
Permen_Kes_2011_2346,Permen_Kes_2006_491
Permen_Kes_2011_2347,Permen_Kes_2005_1353
Permen_Kes_2011_2348,Permen_Kes_2008_356
Permen_Kes_2011_2350,Permen_Kes_2005_1351
Permen_Kes_2011_2351,Permen_Kes_2007_530
Permen_Kes_2011_2352,Permen_Kes_2006_558
Permen_Kes_2011_2353,Permen_Kes_2005_1652
Permen_Kes_2011_2354,Permen_Kes_2007_532
Permen_Kes_2011_2360,Permen_Kes_2008_247
Permen_Kes_2011_2362,Permen_Kes_2008_894
Permen_Kes_2011_416,
Permen_Kes_2011_889,Permen_Kes_1995_184
Permen_Hub_2011_98,Permen_Hub_2011_63
Permen_Hub_2011_92,Permen_Hub_2011_77
Permen_LU_2011_08,Permen_LU_2009_02
Peraturan_LKPP_2011_2,Peraturan_LKPP_2010_6
Peraturan_Bawaslu_2011_4,Peraturan_Bawaslu_2010_1
Permen_KP_2011_08,Permen_KP_2011_02
Permen_PU_2011_09,Permen_PU_2010_21
Permen_PU_2011_01,Permen_PU_2006_02
Permen_PU_2010_24,Permen_PU_2010_10
Permen_Agama_2011_8,Permen_Agama_2007_10
Permen_Agama_2011_16,Permen_Agama_2010_7
Peraturan_BKPM_2011_1,Peraturan_BKPM_2007_90
Peraturan_BKPM_2011_4,Peraturan_BKPM_2010_1
Peraturan_BKPM_2011_6,
Peraturan_BKPM_2011_13,Peraturan_BKPM_2009_6
Permen_Dagri_2011_3,Permen_Dagri_2010_1
Permen_Dagri_2011_6,Permen_Dagri_2009_38
Permen_Dagri_2011_14,Permen_Dagri_2010_41
Permen_Dagri_2011_16,Permen_Dagri_2006_11
Permen_Dagri_2011_21,Permen_Dagri_2006_13
Permen_Dagri_2011_23,Permen_Dagri_2010_25
Permen_Dagri_2011_30,Permen_Dagri_2009_39
Permen_Dagri_2011_35,Permen_Dagri_2011_23
Permen_Dagri_2011_36,Permen_Dagri_2007_16
Permen_Dagri_2011_39,Permen_Dagri_2009_44
Permen_Dagri_2011_42,Permen_Dagri_2010_55
Permen_Dagri_2011_46,Permen_Dagri_2010_16
Permen_Dagri_2011_49,Permen_Dagri_2011_23
Permen_Dagri_2011_53,Permen_Dagri_2006_15
Permen_Dagri_2011_56,Permen_Dagri_2011_23
Permen_Dagri_2011_62,Permen_Dagri_2011_21
Permen_Dagri_2011_67,Permen_Dagri_2008_15
Peraturan_LPS_2011_3,Peraturan_LPS_2006_4
Permen_PR_2011_06,Permen_PR_2010_11
Permen_PR_2011_07,Permen_PR_2010_13
Permen_PR_2011_15,Permen_PR_2007_05
Permen_PR_2011_16,Permen_PR_2007_06
Peraturan_BNN_2011_11,Peraturan_BNN_2010_5
Permen_Keu_2011_99,Permen_Keu_2008_222
Permen_Keu_2011_01,Permen_Keu_2007_74
Permen_Keu_2011_12,Permen_Keu_2007_195
Permen_Keu_2011_122,Permen_Keu_2008_51
Permen_Keu_2011_126,Permen_Keu_2008_170
Permen_Keu_2011_128,Permen_Keu_2010_67
Permen_Keu_2011_13,Permen_Keu_2006_110
Permen_Keu_2011_131,Permen_Keu_2009_74
Permen_Keu_2011_132,Permen_Keu_2007_84
Permen_Keu_2011_139,Permen_Keu_2011_77
Permen_Keu_2011_146,Permen_Keu_2010_173
Permen_Keu_2011_148,Permen_Keu_2007_145
Permen_Keu_2011_154,Permen_Keu_2008_188
Permen_Keu_2011_159,Permen_Keu_2008_135
Permen_Keu_2011_163,Permen_Keu_2007_128
Permen_Keu_2011_167,Permen_Keu_2009_181
Permen_Keu_2011_169,Permen_Keu_2009_69
Permen_Keu_2011_171,Permen_Keu_2010_196
Permen_Keu_2011_172,Permen_Keu_2010_244
Permen_Keu_2011_174,Permen_Keu_2006_110
Permen_Keu_2011_18,Permen_Keu_2010_76
Permen_Keu_2011_186,Permen_Keu_2011_19
Permen_Keu_2011_187,Permen_Keu_2008_218
Permen_Keu_2011_189,Permen_Keu_2009_130
Permen_Keu_2011_192,Permen_Keu_2011_160
Permen_Keu_2011_20,Permen_Keu_2008_153
Permen_Keu_2011_204,Permen_Keu_2011_60
Permen_Keu_2011_205,Permen_Keu_2011_71
Permen_Keu_2011_206,Permen_Keu_2011_72
Permen_Keu_2011_212,Permen_Keu_2009_107
Permen_Keu_2011_215,Permen_Keu_2010_94
Permen_Keu_2011_233,Permen_Keu_2007_171
Permen_Keu_2011_236,Permen_Keu_2010_63
Permen_Keu_2011_237,Permen_Keu_2010_228
Permen_Keu_2011_241,Permen_Keu_2009_131
Permen_Keu_2011_251,Permen_Keu_2011_135
Permen_Keu_2011_255,Permen_Keu_2011_147
Permen_Keu_2011_28,Permen_Keu_2007_163
Permen_Keu_2011_30,Permen_Keu_2010_70
Permen_Keu_2011_31,Permen_Keu_2007_36
Permen_Keu_2011_34,Permen_Keu_2008_217
Permen_Keu_2011_42,Permen_Keu_2010_216
Permen_Keu_2011_43,Permen_Keu_2009_196
Permen_Keu_2011_44,Permen_Keu_2008_181
Permen_Keu_2011_64,Permen_Keu_2010_97
Permen_Keu_2011_65,Permen_Keu_2006_110
Permen_Keu_2011_74,Permen_Keu_2010_244
Permen_Keu_2011_75,Permen_Keu_2010_77
Permen_Keu_2011_80,Permen_Keu_2006_110
Permen_Keu_2011_82,Permen_Keu_2007_199
Permen_Keu_2011_90,Permen_Keu_2006_110
Permen_Keu_2011_91,Permen_Keu_2009_229
Permen_Keu_2011_95,Permen_Keu_2011_63
Permen_Keu_2011_96,Permen_Keu_2011_33
Permen_Han_2011_24,Permen_Han_2010_20
Permen_Han_2011_26,Permen_Han_2006_08
Permen_Han_2011_37,Permen_Han_2008_38
Permen_Perin_2011_16,Permen_Perin_2009_49
Permen_Perin_2011_16,
Permen_Perin_2011_23,Permen_Perin_2010_90
Permen_Perin_2008_36,Permen_Perin_2008_75
Permen_Perin_2011_44,Permen_Perin_2010_4
Permen_Perin_2011_53,Permen_Perin_2010_120
Permen_Perin_2011_79,Permen_Perin_2008_91
Permen_Perin_2011_82,Permen_Perin_2011_20
Permen_Perin_2010_88,Permen_Perin_2011_42
Permen_Dik_2011_3,Permen_Dik_2006_31
Peraturan_Polri_2011_7,Peraturan_Polri_2009_9
Peraturan_Polri_2011_18,
Peraturan_Polri_2011_19,
Peraturan_Polri_2011_22,
Peraturan_Polri_2011_24,Peraturan_Polri_2010_16
Peraturan_BSSN_2011_3,Peraturan_BSSN_2009_9
Permen_Tan_2011_89,Permen_Tan_2006_37
Permen_ESDM_2011_02,Permen_ESDM_2009_32
Permen_ESDM_2011_9,
Permen_Hut_2011_15,Permen_Hut_2006_69
Permen_Hut_2011_17,Permen_Hut_2010_33
Permen_Hut_2011_24,Permen_Hut_2009_56
Permen_Hut_2011_43,Permen_Hut_2009_4
Permen_Hut_2011_44,Permen_Hut_2010_33
Permen_Hut_2011_5,Permen_Hut_2009_33
Permen_Hut_2011_52,Permen_Hut_2007_37
Permen_Hut_2011_53,Permen_Hut_2008_49
Permen_Hut_2011_54,Permen_Hut_2011_41
Permen_Hut_2011_68,Permen_Hut_2009_38
Permen_Dag_2011_10,Permen_Dag_2009_41
Permen_Dag_2011_11,Permen_Dag_2010_20
Permen_Dag_2011_17,Permen_Dag_2008_21
Permen_Dag_2011_20,Permen_Dag_2009_45
Permen_Dag_2011_23,Permen_Dag_2009_44
Permen_Dag_2010_25,Permen_Dag_2009_17
Permen_Dag_2011_39,Permen_Dag_2007_36
Permen_Dag_2010_53,Permen_Dag_2009_43
Permen_Humham_2011_04,Permen_Humham_2010_02
Permen_Humham_2011_07,Permen_Humham_2011_05
Permen_KP_2011_49,Permen_KP_2011_14
Perkab_Bangka_Tengah_2011_1,Perda_2008_22
Perkab_Bangka_Tengah_2011_1,Perda_2008_23
Perkab_Banyumas_2011_1,
Perkab_Cilacap_2011_1,Perkab_Cilacap_2006_7
Perprov_Jateng_2011_1,Perprov_Jateng_2002_6
Perprov_Jateng_2011_1,Perprov_Jateng_2003_6
Perprov_Kep_Riau_2011_1,Perprov_Kep_Riau_2005_4
Perprov_Sumsel_2011_1,Perprov_Sumsel_2008_8
Perkab_Bandung_2011_2,Perkab_Bandung_2007_23
Perkab_Banyumas_2011_2,Perkab_Banyumas_2009_27
Perkab_Banyuwangi_2011_2,
Perkab_Garut_2011_2,Perkab_Garut_2008_25
Perkot_Samarinda_2011_02,
Perprov_Jateng_2011_2,
Perprov_Sumsel_2011_2,Perprov_Sumsel_2008_9
Perkab_Bandung_2011_3,Perkab_Bandung_2006_17
Perkab_Banggai_2011_3,
Perkab_Bangka_Tengah_2011_3,Perkab_Bangka_Tengah_2008_25
Perkot_Cirebon_2011_3,Perkot_Cirebon_2002_17
Perprov_Jabar_2011_3,Perprov_Jabar_2001_21
Perprov_Sumsel_2011_3,
Perprov_Sumsel_2011_3,Perda_2001_25
Perkab_Banyuwangi_2011_4,Perkab_Banyuwangi_2002_48
Perkab_Bulungan_2011_4,Perkab_Bulungan_2000_11
Perkab_Karanganyar_2011_4,
Perkab_Magelang_2011_4,Perkab_Magelang_2008_30
Perkab_Ngawi_2011_4,Perkab_Ngawi_2002_28
Perkab_Pacitan_2011_4,Perkab_Pacitan_2007_21
Perkot_Samarinda_2011_04,
Perkot_Samarinda_2011_04,Perkot_Samarinda_2003_33
Perprov_Sumbar_2011_4,Perprov_Sumbar_2003_4
Perprov_Sumbar_2011_4,Perprov_Sumbar_2002_4
Perkab_Bangka_Tengah_2011_5,Perda_2006_13
Perkab_Cirebon_2011_5,Perkab_Cirebon_2004_3
Perkab_Indramayu_2011_5,Perkab_Indramayu_2008_15
Perkab_Purworejo_2011_5,Perkab_Purworejo_2007_17
Perkab_Sampang_2011_5,
Perkab_Sumedang_2011_5,
Perkot_Bekasi_2011_05,Perda_2001_19
Perkot_Samarinda_2011_05,Perkot_Samarinda_2007_08
Perkot_Sawahlunto_2011_5,Perkot_Sawahlunto_2010_19
Perkot_Probolinggo_2011_5,Perkot_Probolinggo_2000_6
Perkot_Probolinggo_2011_5,Perkot_Probolinggo_2008_9
Perprov_Jateng_2002_5,Perprov_Jateng_2002_18
Perprov_Kalsel_2011_5,Perprov_Kalsel_1998_12
Perprov_Kaltim_2011_05,Perprov_Kaltim_2002_08
Perkot_Surabaya_2011_5,Perkot_Surabaya_2007_2
Perkab_Bangka_Barat_2011_6,Perkab_Bangka_Barat_2007_13
Perkab_Bangka_Tengah_2011_6,Perda_2006_12
Perkab_Bojonegoro_2011_6,Perkab_Bojonegoro_2006_5
Perkab_Buleleng_2011_6,Perkab_Buleleng_2008_4
Perkab_Cirebon_2011_6,Perkab_Cirebon_2002_40
Perkab_Purworejo_2011_6,Perkab_Purworejo_2003_9
Perkab_Sampang_2011_6,
Perkab_Sampang_2011_6,Perkab_Sampang_2002_26
Perkab_Tabalong_2011_06,
Perkot_Bekasi_2011_06,
Perkot_Samarinda_2011_06,Perkot_Samarinda_2000_3
Perkot_Sawahlunto_2011_6,Perkot_Sawahlunto_2004_2
Perprov_Kep_Riau_2011_6,Perprov_Kep_Riau_2007_3
Perprov_Maluku_2011_06,Perprov_Maluku_2007_04
Perkab_Bangka_Tengah_2011_7,Perkab_Bangka_Tengah_2007_7
Perkab_Buleleng_2011_7,Perkab_Buleleng_2007_14
Perkab_Garut_2011_7,
Perkab_Purworejo_2011_7,Perkab_Purworejo_2009_10
Perkab_Sampang_2011_7,
Perkot_Bekasi_2011_07,
Perkot_Cimahi_2011_7,Perkot_Cimahi_2007_12
Perprov_Maluku_2011_07,
Perkab_Bandung_2011_8,Perda_2003_9
Perkab_Berau_2011_8,
Perkab_Berau_2011_8,Perkab_Berau_2001_3
Perkab_Berau_2011_8,Perkab_Berau_2002_6
Perkab_Berau_2011_8,Perkab_Berau_2002_16
Perkab_Berau_2011_8,Perkab_Berau_2002_18
Perkab_Berau_2011_8,Perkab_Berau_2003_6
Perkab_Berau_2011_8,Perkab_Berau_2004_8
Perkab_Berau_2011_8,Perkab_Berau_2004_10
Perkab_Berau_2011_8,Perkab_Berau_2005_8
Perkab_Berau_2011_8,Perkab_Berau_2005_9
Perkab_Berau_2011_8,Perkab_Berau_2007_14
Perkab_Berau_2011_8,Perkab_Berau_2009_4
Perkab_Buleleng_2011_8,Perkab_Buleleng_2003_3
Perkab_Kapuas_Hulu_2011_8,Perkab_Kapuas_Hulu_2008_4
Perkab_Kapuas_Hulu_2011_8,
Perkab_Purworejo_2011_8,Perkab_Purworejo_2009_17
Perkab_Rembang_2011_8,Perkab_Rembang_2008_3
Perkot_Samarinda_2011_08,Perkot_Samarinda_2008_09
Perkot_Surabaya_2011_8,Perkot_Surabaya_2007_7
Perkab_Bandung_2011_9,Perkab_Bandung_2003_8
Perkab_Bojonegoro_2011_9,Perkab_Bojonegoro_2008_8
Perkab_Buleleng_2011_9,Perkab_Buleleng_2003_4
Perkab_Bulungan_2011_9,
Perkab_Bulungan_2011_9,Perda_2008_21
Perkab_Cirebon_2011_9,Perkab_Cirebon_2001_59
Perkab_Karanganyar_2011_9,Perkab_Karanganyar_2009_3
Perkab_Purworejo_2011_9,Perkab_Purworejo_2008_12
Perkab_Tanah_Laut_2011_9,Perkab_Tanah_Laut_2008_15
Perkot_Pekalongan_2011_9,Perkot_Pekalongan_2003_14
Perkot_Samarinda_2011_09,Perkot_Samarinda_2008_11
Perkot_Sukabumi_2011_10,Perkot_Sukabumi_2007_4
Perkab_Garut_2011_10,Perkab_Garut_2001_13
Perkab_Garut_2011_10,Perkab_Garut_2008_8
Perkot_Samarinda_2011_10,Perkot_Samarinda_2008_12
Perkab_Bangka_Tengah_2011_11,Perda_2006_1
Perkab_Bulungan_2011_11,
Perkab_Bulungan_2011_11,Perda_2002_22
Perkab_Bulungan_2011_11,Perda_2003_10
Perkab_Magelang_2011_11,Perkab_Magelang_2008_33
Perprov_Sumbar_2011_11,Perprov_Sumbar_2008_2
Perkab_Bandung_2011_12,Perkab_Bandung_2002_17
Perkab_Banyumas_2011_12,Perkab_Banyumas_2006_12
Perkot_Bandung_2011_12,
Perprov_Sumbar_2011_12,Perprov_Sumbar_2008_4
Perkab_Bandung_2011_13,Perkab_Bandung_2002_18
Perkab_Bangka_Tengah_2011_13,Perkab_Bangka_Tengah_2008_2
Perkab_Banyuwangi_2011_13,Perkab_Banyuwangi_2002_4
Perkab_Banyuwangi_2011_13,Perkab_Banyuwangi_2002_6
Perkab_Banyuwangi_2011_13,Perkab_Banyuwangi_2003_33
Perkab_Bengkayang_2011_13,Perda_2007_13
Perkab_Bengkayang_2011_13,Perda_2010_2
Perprov_Sumsel_2011_13,Perprov_Sumsel_2004_7
Perkab_Bandung_2011_14,Perkab_Bandung_2001_17
Perkab_Bangka_Tengah_2011_14,Perkab_Bangka_Tengah_2006_14
Perkab_Banyumas_2011_14,Perkab_Banyumas_2006_14
Perkot_Depok_2011_14,Perkot_Depok_2003_07
Perprov_Sumbar_2011_14,Perprov_Sumbar_2009_6
Perkab_Bandung_2011_15,Perkab_Bandung_2001_18
Perprov_Jabar_2011_15,Perprov_Jabar_2008_22
Perkab_Bandung_2011_16,Perkab_Bandung_2007_20
Perkab_Banyumas_2011_16,Perkab_Banyumas_2009_26
Perkab_Bulungan_2011_16,Perkab_Bulungan_2005_11
Perprov_Jabar_2011_16,Perprov_Jabar_2008_24
Perkab_Banyumas_2011_17,Perkab_Banyumas_2006_17
Perkab_Bandung_2011_18,Perkab_Bandung_2007_23
Perkab_Bulungan_2011_18,Perkab_Bulungan_2009_5
Perprov_Jabar_2011_18,Perprov_Jabar_2000_6
Perkab_Bulungan_2011_19,Perkab_Bulungan_2005_9
Perkab_Bandung_2011_20,Perkab_Bandung_2002_3
Perprov_Jabar_2011_20,Perprov_Jabar_2000_2
Perkab_Bandung_2011_21,Perkab_Bandung_2000_21
Perkab_Bandung_2011_23,Perkab_Bandung_2001_3
Perkab_Hulu_Sungai_Utara_2011_40,Perda_2005_23
Perkab_Hulu_Sungai_Utara_2011_42,Perda_2005_15
Perkab_Hulu_Sungai_Utara_2011_42,
Perkab_Hulu_Sungai_Utara_2011_42,Perda_2005_23
Perkab_Hulu_Sungai_Utara_2011_46,Perda_2005_13
Perkab_Hulu_Sungai_Utara_2011_47,Perkab_Hulu_Sungai_Utara_1998_18
Perkab_Bangka_Tengah_2011_39,Perkab_Bangka_Tengah_2007_8
Perkab_Bangka_Tengah_2011_40,Perkab_Bangka_Tengah_2008_25
Perkab_Bangka_Tengah_2011_48,Perda_2006_7
Perkab_Banyumas_2011_20,
Perkab_Banyumas_2011_21,
Perkab_Banyumas_2011_23,Perkab_Banyumas_2006_12
Perkab_Banyumas_2011_24,Perkab_Banyumas_2006_14
Perkab_Banyumas_2011_26,Perkab_Banyumas_2006_17
Perkab_Kendal_2011_7,Perkab_Kendal_2009_5
Perkab_Bangkalan_2011_2,Perkab_Bangkalan_2008_4
Perkot_Surabaya_2011_3,Perkot_Surabaya_2007_2
Perkot_Surabaya_2011_4,
Perkab_Bangka_Tengah_2011_19,Perkab_Bangka_Tengah_2008_14
Perkab_Bangka_Tengah_2011_20,Perkab_Bangka_Tengah_2006_26
Perkot_Bengkulu_2011_03,Perkot_Bengkulu_2003_28
Perkot_Bengkulu_2011_09,Perkot_Bengkulu_2002_21
Perkot_Bengkulu_2011_11,
Perkot_Cirebon_2011_11,Perkot_Cirebon_2007_7
Perkot_Cirebon_2011_12,Perkot_Cirebon_2008_13
Perkot_Cirebon_2011_13,Perkot_Cirebon_2008_14
Perkot_Cirebon_2011_14,Perkot_Cirebon_2008_15
Peraturan_BPK_2011_1,
Perkot_Probolinggo_2011_2,
Perkot_Probolinggo_2011_2,Perkot_Probolinggo_1998_11
Perkot_Probolinggo_2011_4,Perkot_Probolinggo_2000_4
Perkot_Probolinggo_2011_4,Perkot_Probolinggo_2009_9
Perkot_Pasuruan_2011_19,Perkot_Pasuruan_2005_05
Perkot_Sawahlunto_2011_10,Perkot_Sawahlunto_2010_8
Perkab_Muko_Muko_2011_2,Perkab_Muko_Muko_2005_13
Perkab_Muko_Muko_2011_3,Perkab_Muko_Muko_2009_29
Perkab_Muko_Muko_2011_4,Perkab_Muko_Muko_2005_14
Perkab_Muko_Muko_2011_4,Perkab_Muko_Muko_2005_28
Perkab_Muko_Muko_2011_4,Perkab_Muko_Muko_2007_5
Perkab_Muko_Muko_2011_4,Perkab_Muko_Muko_2007_6
Perkab_Muko_Muko_2011_4,Perkab_Muko_Muko_2008_13
Perkab_Muko_Muko_2011_5,Perkab_Muko_Muko_2005_30
Perkab_Muko_Muko_2011_6,Perkab_Muko_Muko_2008_12
Perkab_Muko_Muko_2011_7,Perkab_Muko_Muko_2005_12
Perkab_Muko_Muko_2011_35,Perda_2009_6
UU_2010_5,UU_2002_22
PP_2010_7,PP_1999_94
PP_2010_8,PP_2001_15
PP_2010_16,PP_2004_25
PP_2010_16,PP_2005_53
PP_2010_17,
PP_2010_17,PP_1998_55
PP_2010_17,PP_1990_29
PP_2010_17,PP_1998_56
PP_2010_17,PP_1991_72
PP_2010_17,PP_1991_73
PP_2010_17,PP_2000_39
PP_2010_17,PP_1992_39
PP_2010_17,PP_1999_60
PP_2010_17,PP_1999_61
PP_2010_20,PP_1999_82
PP_2010_25,PP_1977_7
PP_2010_26,PP_2001_28
PP_2010_27,PP_2001_29
PP_2010_28,PP_2009_9
PP_2010_29,PP_2009_22
PP_2010_30,PP_2009_23
PP_2010_31,PP_1980_10
PP_2010_32,PP_1985_14
PP_2010_33,PP_1985_34
PP_2010_40,PP_1994_16
PP_2010_41,
PP_2010_41,PP_2002_1
PP_2010_46,PP_1999_93
PP_2010_53,
PP_2010_53,PP_1980_30
PP_2010_53,PP_1979_32
PP_2010_58,PP_1983_27
PP_2010_65,PP_2005_56
PP_2010_66,PP_2010_17
PP_2010_70,PP_2007_59
PP_2010_72,PP_2003_30
PP_2010_76,PP_2009_7
PP_2010_80,PP_1994_45
PP_2010_84,PP_1993_14
Peraturan_BWI_2010_3,Peraturan_BWI_2008_2
Peraturan_KPU_2010_10,Peraturan_KPU_2009_63
Peraturan_KPU_2010_14,Peraturan_KPU_2009_69
Peraturan_KPU_2010_15,Peraturan_KPU_2009_72
Peraturan_KPU_2010_17,Peraturan_KPU_2009_66
Peraturan_KPU_2010_18,Peraturan_KPU_2010_06
Peraturan_KPU_2010_19,Peraturan_KPU_2009_75
Permen_Kominfo_2010_16,Permen_Kominfo_2007_26
Permen_Kominfo_2010_29,Permen_Kominfo_2007_26
Permen_Kes_2010_1501,Permen_Kes_1989_560
Permen_Kes_2010_1144,Permen_Kes_2005_1575
Permen_Kes_2010_1144,Permen_Kes_2009_439
Permen_Kes_2010_1189,Permen_Kes_2004_1184
Peraturan_BKPM_2010_5,
Peraturan_BKPM_2010_7,Peraturan_BKPM_2009_13
Permen_Dagri_2010_32,Permen_Dagri_1993_7
Permen_Dagri_2010_43,Permen_Dagri_2005_31
Permen_Dagri_2010_466,Permen_Dagri_2009_71
Permen_Dagri_2010_52,
Permen_Dagri_2010_54,Permen_Dagri_1982_9
Permen_Dagri_2010_55,Permen_Dagri_2005_1
Permen_Dagri_2010_56,Permen_Dagri_2007_57
Permen_Dagri_2010_59,Permen_Dagri_2009_20
Permen_Dagri_2010_60,Permen_Dagri_2009_39
Permen_Dagri_2010_64,Permen_Dagri_2009_49
Permen_PR_2010_13,
Permen_PR_2010_13,Permen_PR_2008_19
Permen_PR_2010_17,Permen_PR_2010_11
Permen_PR_2010_18,Permen_PR_2010_13
Permen_Keu_2010_10,Permen_Keu_2009_203
Permen_Keu_2010_102,Permen_Keu_2007_90
Permen_Keu_2010_115,Permen_Keu_2010_66
Permen_Keu_2010_131,Permen_Keu_2010_53
Permen_Keu_2010_134,Permen_Keu_2009_74
Permen_Keu_2010_137,Permen_Keu_2010_118
Permen_Keu_2010_141,Permen_Keu_2010_123
Permen_Keu_2010_142,Permen_Keu_2008_215
Permen_Keu_2010_15,Permen_Keu_2008_215
Permen_Keu_2010_159,Permen_Keu_2010_66
Permen_Keu_2010_161,Permen_Keu_2009_140
Permen_Keu_2010_165,Permen_Keu_2009_135
Permen_Keu_2010_166,Permen_Keu_2010_06
Permen_Keu_2010_171,Permen_Keu_2010_124
Permen_Keu_2010_172,Permen_Keu_2006_36
Permen_Keu_2010_179,Permen_Keu_2007_82
Permen_Keu_2010_180,Permen_Keu_2010_69
Permen_Keu_2010_181,Permen_Keu_2010_12
Permen_Keu_2010_182,Permen_Keu_2010_13
Permen_Keu_2010_183,Permen_Keu_2010_14
Permen_Keu_2010_189,Permen_Keu_2008_135
Permen_Keu_2010_190,Permen_Keu_2009_181
Permen_Keu_2010_191,Permen_Keu_2008_200
Permen_Keu_2010_193,Permen_Keu_2010_104
Permen_Keu_2010_198,Permen_Keu_2007_79
Permen_Keu_2010_199,Permen_Keu_2010_66
Permen_Keu_2010_204,Permen_Keu_2010_123
Permen_Keu_2010_207,Permen_Keu_2010_23
Permen_Keu_2010_214,Permen_Keu_2010_47
Permen_Keu_2010_22,Permen_Keu_2008_135
Permen_Keu_2010_223,Permen_Keu_2009_207
Permen_Keu_2010_224,Permen_Keu_2009_206
Permen_Keu_2010_232,Permen_Keu_2010_06
Permen_Keu_2010_241,Permen_Keu_2006_110
Permen_Keu_2010_248,Permen_Keu_2008_156
Permen_Keu_2010_255,
Permen_Keu_2010_31,Permen_Keu_2008_96
Permen_Keu_2010_05,Permen_Keu_2007_57
Permen_Keu_2010_57,Permen_Keu_2009_105
Permen_Keu_2010_80,Permen_Keu_2007_184
Permen_Keu_2010_83,Permen_Keu_2008_23
Permen_Keu_2010_84,Permen_Keu_2007_189
Permen_Keu_2010_85,Permen_Keu_2008_24
Permen_Keu_2010_88,Permen_Keu_2006_110
Permen_Keu_2010_89,Permen_Keu_2009_21
Permen_Keu_2010_09,Permen_Keu_2009_212
Permen_Keu_2010_92,Permen_Keu_2008_170
Permen_Keu_2010_96,Permen_Keu_2009_69
Permen_Keu_2010_99,Permen_Keu_2009_181
Permen_Han_2010_19,Permen_Han_2008_39
Permen_Perin_2010_109,
Permen_Perin_2010_109,Permen_Perin_2009_33
Permen_Perin_2010_109,Permen_Perin_2009_32
Permen_Perin_2010_129,Permen_Perin_2008_85
Permen_Perin_2010_149,Permen_Perin_2008_91
Permen_Perin_2010_16,Permen_Perin_2009_147
Permen_Perin_2010_20,Permen_Perin_2008_90
Permen_Perin_2010_27,Permen_Perin_2008_95
Permen_Perin_2010_30,Permen_Perin_2008_15
Permen_Perin_2010_37,Permen_Perin_2009_19
Permen_Perin_2010_44,Permen_Perin_2008_91
Permen_Perin_2010_60,Permen_Perin_2009_45
Permen_Dik_2010_44,Permen_Dik_2010_2
Peraturan_Polri_2010_20,
Peraturan_BSSN_2010_15,Peraturan_BSSN_2009_1
Peraturan_BSSN_2010_18,Peraturan_BSSN_2009_1
Permen_ESDM_2010_08,Permen_ESDM_2006_029
